job_id,arrival_time_s,duration_s,gpu_count,gpu_type,preemptible
ph-application_1508364558011_32174,396436.0,3606.0,1,any,True
ph-application_1508364558011_32219,397959.0,3694.0,1,any,True
ph-application_1508364558011_32241,399126.0,1640.0,1,any,False
ph-application_1508364558011_32443,403743.0,2400.0,1,any,False
ph-application_1508364558011_32497,404579.0,3887.0,1,any,True
ph-application_1508364558011_32499,404708.0,17.0,2,any,False
ph-application_1508364558011_32589,411216.0,3650.0,1,any,False
ph-application_1508364558011_32646,414863.0,62.0,1,any,False
ph-application_1508364558011_32667,418034.0,1758.0,1,any,False
ph-application_1508364558011_32745,424944.0,217.0,1,any,False
ph-application_1508364558011_32779,427276.0,70.0,1,any,False
ph-application_1508364558011_32806,429263.0,58.0,1,any,False
ph-application_1508364558011_32851,432647.0,17.0,1,any,False
ph-application_1508364558011_32889,436878.0,907.0,1,any,False
ph-application_1508364558011_32946,439560.0,3485.0,1,any,True
ph-application_1508364558011_32978,439591.0,3653.0,1,any,True
ph-application_1508364558011_33029,439626.0,3643.0,1,any,True
ph-application_1508364558011_33031,439627.0,4171.0,1,any,True
ph-application_1508364558011_33085,439666.0,3296.0,1,any,False
ph-application_1508364558011_33101,439670.0,3206.0,1,any,True
ph-application_1508364558011_33116,439675.0,3570.0,1,any,True
ph-application_1508364558011_33153,439690.0,3918.0,1,any,True
ph-application_1508364558011_33175,439714.0,4284.0,1,any,True
ph-application_1508364558011_33174,439714.0,88.0,1,any,False
ph-application_1508364558011_33209,441561.0,1246.0,4,any,False
ph-application_1508364558011_33243,443038.0,25.0,1,any,False
ph-application_1508364558011_33322,450747.0,145.0,8,any,False
ph-application_1508364558011_33324,450748.0,103.0,2,any,False
ph-application_1508364558011_33346,451952.0,3929.0,1,any,True
ph-application_1508364558011_33360,451963.0,3368.0,1,any,True
ph-application_1508364558011_33523,455971.0,3371.0,1,any,False
ph-application_1508364558011_33542,456584.0,867.0,1,any,False
ph-application_1508364558011_33545,456630.0,3780.0,1,any,False
ph-application_1508364558011_33562,456732.0,862.0,1,any,False
ph-application_1508364558011_33592,456939.0,1430.0,1,any,False
ph-application_1508364558011_33630,457151.0,5439.0,1,any,False
ph-application_1508364558011_33699,459263.0,69.0,1,any,False
ph-application_1508364558011_33708,460108.0,461.0,1,any,False
ph-application_1508364558011_33709,460467.0,81.0,1,any,False
ph-application_1508364558011_33723,461912.0,329.0,1,any,False
ph-application_1508364558011_33765,464744.0,68.0,1,any,False
ph-application_1508364558011_33777,466539.0,214.0,1,any,False
ph-application_1508364558011_33786,466579.0,1522.0,1,any,False
ph-application_1508364558011_33860,466995.0,1063.0,1,any,False
ph-application_1508364558011_33910,467378.0,299.0,1,any,False
ph-application_1508364558011_34065,468684.0,896.0,1,any,False
ph-application_1508364558011_34096,470226.0,321.0,1,any,False
ph-application_1508364558011_34134,470432.0,321.0,1,any,False
ph-application_1508364558011_34196,470740.0,226.0,1,any,False
ph-application_1508364558011_34251,471044.0,214.0,1,any,False
ph-application_1508364558011_34256,471061.0,297.0,1,any,False
ph-application_1508364558011_34261,471087.0,224.0,1,any,False
ph-application_1508364558011_34329,471421.0,741.0,1,any,False
ph-application_1508364558011_34385,471705.0,1796.0,1,any,True
ph-application_1508364558011_34405,471803.0,378.0,1,any,False
ph-application_1508364558011_34440,471954.0,25.0,1,any,False
ph-application_1508364558011_34484,472038.0,2346.0,1,any,False
ph-application_1508364558011_34506,472087.0,1526.0,1,any,False
ph-application_1508364558011_34510,472100.0,294.0,1,any,False
ph-application_1508364558011_34531,472142.0,2422.0,1,any,False
ph-application_1508364558011_34532,472144.0,2339.0,1,any,False
ph-application_1508364558011_34591,472198.0,1605.0,1,any,False
ph-application_1508364558011_34599,472212.0,1827.0,1,any,False
