gpu,kind,policy,alpha,q_p50,fair_p1,lt50_pct,n
256,hetero,sfqa,0.01,7543667,81.52,0.0,111586
256,hetero,sfqa,0.02,7357433,78.29,0.0,111586
256,hetero,sfqa,0.05,7301111,78.25,0.007,111586
256,hetero,sfqa,0.1,7550458,85.68,0.003,111586
256,hetero,sfqa,0.13889,7536426,83.09,0.002,111586
256,hetero,sfqa,0.2,7396820,80.72,0.006,111586
256,hetero,sfqa,0.3,3771066,76.24,0.005,111586
256,hetero,sfqa,0.5,3833610,75.51,0.007,111586
256,hetero,sfqa,0.7,7315395,76.52,0.0,111586
256,hetero,sfqa,0.9,7501431,76.83,0.008,111586
256,hetero,sfqa,1.0,7453033,78.12,0.0,111586
256,hetero,sfqa,1.2,7320140,83.67,0.003,111586
256,hetero,sfqa,1.4,7380095,80.94,0.004,111586
256,hetero,sfqa,1.6,7506266,76.96,0.011,111586
256,hetero,sfqa,1.8,7292520,77.85,0.001,111586
256,hetero,sfqa,2.0,7587454,83.51,0.021,111586
256,hetero,sfqa-auto,,7987526,94.89,0.0,111586
256,single,sfqa,0.01,4434596,87.62,0.0,111586
256,single,sfqa,0.02,4811169,84.93,0.0,111586
256,single,sfqa,0.05,4285551,86.4,0.0,111586
256,single,sfqa,0.1,4529704,85.18,0.006,111586
256,single,sfqa,0.13889,4387370,88.76,0.0,111586
256,single,sfqa,0.2,4731886,86.03,0.001,111586
256,single,sfqa,0.3,4664124,85.28,0.0,111586
256,single,sfqa,0.5,4558774,85.21,0.0,111586
256,single,sfqa,0.7,3854424,82.78,0.0,111586
256,single,sfqa,0.9,4826486,86.42,0.0,111586
256,single,sfqa,1.0,4422562,87.02,0.0,111586
256,single,sfqa,1.2,4493494,85.26,0.0,111586
256,single,sfqa,1.4,4537282,87.36,0.0,111586
256,single,sfqa,1.6,4072492,87.72,0.0,111586
256,single,sfqa,1.8,4462888,84.75,0.001,111586
256,single,sfqa,2.0,4462888,84.75,0.001,111586
256,single,sfqa-auto,,5022840,93.49,0.001,111586
512,hetero,sfqa,0.01,2045218,86.25,0.006,111586
512,hetero,sfqa,0.02,2638208,84.93,0.001,111586
512,hetero,sfqa,0.05,2056148,85.74,0.0,111586
512,hetero,sfqa,0.1,2542931,81.43,0.009,111586
512,hetero,sfqa,0.13889,2253537,86.4,0.012,111586
