gpu,kind,policy,alpha,q_p50,fair_p1,lt50_pct,n
512,hetero,sfqa,0.2,2247079,82.72,0.007,111586
512,hetero,sfqa,0.3,2474196,85.24,0.01,111586
512,hetero,sfqa,0.5,2556579,79.81,0.008,111586
512,hetero,sfqa,0.7,2208367,83.56,0.004,111586
512,hetero,sfqa,0.9,2279514,83.42,0.002,111586
512,hetero,sfqa,1.0,2324412,84.54,0.009,111586
512,hetero,sfqa,1.2,2574205,80.46,0.011,111586
512,hetero,sfqa,1.4,2455523,87.47,0.01,111586
512,hetero,sfqa,1.6,2309795,86.06,0.005,111586
512,hetero,sfqa,1.8,2214777,80.21,0.006,111586
512,hetero,sfqa,2.0,2452068,85.63,0.002,111586
512,hetero,sfqa-auto,,2635552,92.7,0.004,111586
512,single,sfqa,0.01,1373646,87.77,0.003,111586
512,single,sfqa,0.02,1257480,81.34,0.004,111586
512,single,sfqa,0.05,1284112,81.26,0.007,111586
512,single,sfqa,0.1,1231492,83.98,0.007,111586
512,single,sfqa,0.13889,1225670,78.95,0.011,111586
512,single,sfqa,0.2,1276114,82.65,0.011,111586
512,single,sfqa,0.3,1226116,88.23,0.004,111586
512,single,sfqa,0.5,1247584,84.06,0.001,111586
512,single,sfqa,0.7,1175014,78.55,0.004,111586
512,single,sfqa,0.9,1253428,90.57,0.004,111586
512,single,sfqa,1.0,1172009,83.69,0.001,111586
512,single,sfqa,1.2,1255442,81.99,0.004,111586
512,single,sfqa,1.4,1253031,83.81,0.011,111586
512,single,sfqa,1.6,1291792,83.45,0.01,111586
512,single,sfqa,1.8,1221473,88.96,0.007,111586
512,single,sfqa,2.0,1352360,89.37,0.006,111586
512,single,sfqa-auto,,1472840,92.72,0.002,111586
1024,hetero,sfqa,0.01,145788,97.5,0.0,111586
1024,hetero,sfqa,0.02,131226,97.51,0.0,111586
1024,hetero,sfqa,0.05,137896,97.4,0.0,111586
1024,hetero,sfqa,0.1,144921,96.85,0.0,111586
1024,hetero,sfqa,0.13889,123153,97.33,0.0,111586
1024,hetero,sfqa,0.2,120236,97.52,0.0,111586
1024,hetero,sfqa,0.3,140220,96.81,0.0,111586
1024,hetero,sfqa,0.5,139484,96.82,0.0,111586
1024,hetero,sfqa,0.7,132864,97.14,0.0,111586
1024,hetero,sfqa,0.9,127201,97.43,0.0,111586
1024,hetero,sfqa,1.0,146328,97.09,0.0,111586
1024,hetero,sfqa,1.2,118836,97.57,0.0,111586
1024,hetero,sfqa,1.4,120400,97.5,0.0,111586
1024,hetero,sfqa,1.6,127476,97.49,0.0,111586
1024,hetero,sfqa,1.8,126329,97.15,0.0,111586
1024,hetero,sfqa,2.0,143815,96.93,0.0,111586
1024,hetero,sfqa-auto,,167534,98.24,0.0,111586
1024,single,sfqa,0.01,2,99.98,0.0,111586
1024,single,sfqa,0.02,2,99.97,0.0,111586
1024,single,sfqa,0.05,2,99.95,0.0,111586
1024,single,sfqa,0.1,2,99.94,0.0,111586
1024,single,sfqa,0.13889,2,99.94,0.0,111586
1024,single,sfqa,0.2,2,99.93,0.0,111586
1024,single,sfqa,0.3,2,99.93,0.0,111586
1024,single,sfqa,0.5,2,99.94,0.0,111586
1024,single,sfqa,0.7,2,99.91,0.0,111586
1024,single,sfqa,0.9,2,99.93,0.0,111586
1024,single,sfqa,1.0,2,99.91,0.0,111586
1024,single,sfqa,1.2,2,99.93,0.0,111586
1024,single,sfqa,1.4,2,99.93,0.0,111586
1024,single,sfqa,1.6,2,99.92,0.0,111586
1024,single,sfqa,1.8,2,99.93,0.0,111586
1024,single,sfqa,2.0,2,99.92,0.0,111586
1024,single,sfqa-auto,,2,99.99,0.0,111586
