policy,n,q_p50,q_max,fair_mean,fair_p1,lt50_pct,alloc_avg
fifo,62069,23493792.5,48722317.0,100.0,100.0,0.0,86.4
sjf,62069,369.0,47123316.0,91.1,0.0,8.77,94.9
las,62069,799943.0,48525192.5,79.9,0.0,17.53,96.0
kueue,62069,799943.0,48525192.5,79.9,0.0,17.53,96.0
easy,62069,6885442.5,33664920.5,79.1,0.0,9.27,95.1
themis,62069,1255.5,49240200.5,90.9,0.0,8.48,95.1
fgd,62069,799943.0,48525192.5,79.9,0.0,17.53,96.0
sfqa,62069,9925274.5,44006659.5,91.8,58.0,0.02,89.9
sfqa-auto,62069,21677435.5,45184332.5,97.6,80.0,0.01,88.4
