run,policy,n,q_p50,q_p90,q_max,bsld_p50,bsld_max,fair_mean,lt50,p1,fair_mean_wall,lt50_wall,p1_wall,alloc_avg
b_auto_block,SAFA blocking+counter (Δ5),500,1927.0,2877.0,3283.0,115.4,328.8,99.3614456013017,0.0,82.78688524590164,99.37548501016867,0.0,82.78688524590164,59.13197172034564
b_auto_greedy,SAFA greedy+wall (대조),500,474.0,782.0,2250.0,27.095238095238095,215.1,94.3646240791925,5.0,3.8461538461538436,94.3630367776052,5.0,3.8461538461538436,81.1823593073593
b_auto_d1,SAFA blocking+counter (Δ1),500,443.0,2350.0,2877.0,37.0,288.4,92.99917263174054,4.0,40.12738853503185,92.99917263174054,4.0,40.12738853503185,65.8801580333626
b_fifo,FIFO blocking,500,1784.0,2879.0,3302.0,119.72727272727273,330.9,99.35265326240606,0.2,84.21052631578947,99.36147935342561,0.2,84.21052631578947,58.77535101404056
b_auto_block_r2,SAFA blocking+counter (반복),500,1922.0,2875.0,3292.0,115.4,329.7,99.2000604817899,0.2,82.35294117647058,99.2140998906569,0.2,82.35294117647058,59.26287051482059
b_fifo_r2,FIFO blocking (반복),500,1785.0,2875.0,3298.0,119.72727272727273,330.5,99.45333517259424,0.2,89.47368421052632,99.46216126361377,0.2,89.47368421052632,58.73046875
