job_id,arrival_s,service_sec,gpu_count
ali-1001a0c1a2d4d68e94a0fecf-tensorflow#104979,0.0,172800.0,1
ali-e292c9c65d286997da9c5b26-worker#384494,16670.0,167731.0,8
ali-5d38c14aee655bcc24221011-worker#319385,24488.0,172800.0,2
ali-158fbdbe6d37e59982476ffb-worker#499667,48458.0,172800.0,1
ali-feec1e047f24dae6d0c94110-worker#284560,54257.0,172800.0,16
ali-fc9e5450d5f9b5364737a5a1-tensorflow#41958,65915.0,100088.0,1
ali-ae8f84cd2f1c5d138981a8f9-worker#332528,74911.0,172800.0,8
ali-51d01202d231f9fae85bceab-PyTorchWorker#554540,76966.0,154108.0,1
ali-e6fbc0b25267595b15fd9ce0-tensorflow#465467,81763.0,90209.0,1
ali-9a4e91d99ee6c5f0df8db2da-worker#297031,90855.0,133803.0,8
ali-f92eff9824837558a972da2c-tensorflow#494252,91171.0,81951.0,1
ali-32a3571ab783865e2c0fe33c-tensorflow#407808,96824.0,67814.0,1
ali-273447ce5444db25dadb3e46-tensorflow#548132,105254.0,106090.0,1
ali-af891555f285b94e2dcd12a0-worker#319956,110240.0,60470.0,12
ali-d71111659c45b2132bc08797-worker#259711,110581.0,172800.0,2
ali-3a3eb6b50b2a77baf5636d67-evaluator#316353,110713.0,64443.0,2
ali-9baed10f3fae55d16f903104-worker#371212,110944.0,82227.0,8
ali-f37c99b0698572d942b93aaa-PyTorchWorker#466420,113530.0,172800.0,16
ali-56116ecbf1f809c24f60be72-worker#529007,113718.0,90024.0,10
ali-d1538699e97a0d852c4d2f7b-tensorflow#198368,116507.0,150444.0,1
ali-e1f93400a97a69d19b910895-PyTorchWorker#249866,117158.0,83818.0,1
ali-3e8f649722e82dcde5d8a1f1-tensorflow#95359,117663.0,97203.0,1
ali-e095b799cb964b110ef8d583-tensorflow#505645,119059.0,59373.0,1
ali-e3003b8ed862dcdcdd6f70b3-tensorflow#266424,119113.0,54719.0,1
ali-a8377ec1fc534eef47141b9a-tensorflow#257916,119244.0,58144.0,1
