job_id,arrival_s,service_sec,gpu_count
394948#2,651507.0,172800.0,8
396689#3,726051.0,172800.0,4
396912#4,740189.0,172800.0,8
399455#10,877980.0,172800.0,16
399469#11,887700.0,172800.0,2
399535#12,907426.0,172800.0,16
399536#13,907520.0,172800.0,16
402451#15,934855.0,172800.0,1
402476#16,938030.0,172800.0,8
402484#19,939494.0,172800.0,8
402781#22,1030805.0,172800.0,8
402929#25,1075288.0,172800.0,24
402939#26,1076570.0,135352.0,8
403140#28,1089478.0,172800.0,16
403214#29,1092967.0,168742.0,4
403257#30,1097311.0,109439.0,4
405016#37,1153903.0,125833.0,8
406072#44,1161024.0,56978.0,32
406090#45,1161705.0,172800.0,1
406094#46,1162228.0,172800.0,1
406095#47,1162231.0,158646.0,2
406128#48,1164348.0,31542.0,1
406144#49,1165183.0,172800.0,1
406146#50,1165256.0,172800.0,1
406201#52,1168055.0,29053.0,8
406214#53,1169027.0,32681.0,8
406228#54,1169860.0,81540.0,4
406232#55,1170000.0,111087.0,4
406316#59,1176123.0,64714.0,8
406351#61,1180735.0,27682.0,1
406352#62,1180763.0,27654.0,1
406372#69,1182303.0,33503.0,16
406373#70,1182317.0,33479.0,16
406374#71,1182352.0,28226.0,16
406375#72,1182368.0,34512.0,16
406376#73,1182381.0,34667.0,16
406395#76,1183727.0,35906.0,4
406406#78,1184966.0,69344.0,8
406414#80,1185593.0,53464.0,4
406429#81,1186665.0,571.0,16
406430#82,1186681.0,60.0,16
406439#84,1187518.0,172800.0,8
406450#87,1188852.0,172800.0,1
406454#88,1189461.0,42666.0,16
406482#91,1194064.0,172800.0,24
406486#93,1195252.0,40.0,1
406489#96,1195643.0,4.0,1
406493#100,1195932.0,122621.0,1
406494#101,1196276.0,35.0,1
406499#105,1196826.0,500.0,16
406504#110,1197621.0,261.0,4
406513#117,1198327.0,426.0,4
406518#122,1198965.0,505.0,4
406520#124,1198997.0,36.0,1
406521#125,1199107.0,175.0,1
406526#130,1199355.0,28718.0,1
406528#132,1199544.0,509.0,4
406532#136,1200418.0,34497.0,16
406535#139,1200831.0,60.0,8
406541#145,1201395.0,551.0,4
406542#146,1201406.0,57.0,8
406543#147,1201517.0,290.0,8
406547#151,1202366.0,566.0,4
406548#152,1202572.0,28621.0,8
406551#155,1203798.0,558.0,4
406552#156,1204987.0,619.0,4
406553#157,1205948.0,628.0,4
406556#160,1208911.0,1149.0,2
406557#161,1209442.0,1131.0,2
406559#163,1210061.0,1162.0,2
406569#173,1224383.0,21493.0,4
406570#174,1224543.0,1.0,4
406573#177,1226632.0,187.0,8
406575#178,1226672.0,169.0,8
406578#181,1227154.0,186.0,8
406580#183,1227592.0,42.0,4
406581#184,1227892.0,19036.0,4
406582#185,1228073.0,1200.0,2
406587#187,1229577.0,1028.0,12
406588#188,1229883.0,87141.0,32
406589#189,1229883.0,107624.0,32
406591#191,1231154.0,2588.0,24
406594#194,1231261.0,52491.0,8
406595#195,1231298.0,64031.0,8
406597#197,1231551.0,190.0,8
406598#198,1231580.0,201.0,8
406601#201,1231873.0,29491.0,8
406606#204,1232158.0,14950.0,8
406607#205,1232186.0,152.0,16
406608#206,1232387.0,88.0,2
406609#207,1232404.0,139.0,16
406610#208,1232430.0,21.0,8
406614#212,1232474.0,220.0,16
406615#213,1232617.0,283.0,8
406616#214,1232630.0,6122.0,8
406618#216,1232982.0,72.0,2
406619#217,1233171.0,66.0,2
406620#218,1233258.0,427.0,16
406622#220,1233311.0,1270.0,2
406623#221,1233328.0,16.0,4
406624#222,1233408.0,135.0,6
406626#224,1233463.0,77.0,2
406631#229,1233645.0,12865.0,8
406641#237,1234000.0,223.0,4
406643#239,1234239.0,124.0,1
406644#240,1234323.0,233.0,4
406645#241,1234419.0,111.0,1
406646#242,1234549.0,105.0,2
406647#243,1234644.0,172800.0,1
406650#246,1234702.0,107.0,2
406652#248,1234796.0,117.0,2
406653#249,1234831.0,225.0,4
406661#257,1235124.0,212.0,4
406666#262,1235415.0,96.0,1
406675#271,1235659.0,18389.0,4
406680#276,1236632.0,192.0,4
406682#278,1236871.0,52.0,1
406685#281,1237065.0,50.0,1
406688#284,1237182.0,75.0,1
406690#285,1237247.0,235.0,4
406692#287,1237281.0,37402.0,16
406696#290,1237345.0,95.0,2
406701#294,1237557.0,22.0,8
406704#296,1237618.0,3241.0,8
406705#297,1237623.0,2.0,8
406707#299,1237671.0,136.0,8
406709#301,1237795.0,208.0,1
406711#303,1237823.0,27.0,8
406712#304,1237845.0,3088.0,8
406716#308,1238004.0,25.0,8
406718#309,1238071.0,46.0,1
406719#310,1238179.0,52.0,8
406725#315,1239854.0,198.0,40
406726#316,1239878.0,165.0,16
406742#327,1240806.0,108.0,1
406745#330,1240854.0,33.0,8
406748#333,1240957.0,98.0,1
406750#334,1241002.0,85.0,1
406751#335,1241117.0,87.0,1
406753#337,1241143.0,117.0,1
406756#340,1241309.0,129.0,1
406758#342,1241420.0,99.0,1
406759#343,1241459.0,203.0,40
406763#346,1241626.0,97.0,1
406764#347,1241651.0,96.0,1
406765#348,1241691.0,119.0,1
406766#349,1241703.0,170022.0,40
406769#352,1241810.0,74.0,1
406772#355,1241973.0,3819.0,8
406773#356,1241985.0,95.0,1
406774#357,1241998.0,114.0,1
406780#363,1242466.0,116.0,1
406781#364,1242486.0,585.0,4
406782#365,1242490.0,92.0,1
406787#370,1242818.0,87.0,1
406789#371,1242828.0,77.0,1
406791#372,1242837.0,88.0,1
406794#375,1242981.0,94.0,1
406796#377,1243088.0,3692.0,1
406804#383,1243273.0,166.0,1
406806#385,1243375.0,55.0,16
406813#390,1243576.0,81.0,1
406815#392,1243630.0,94.0,1
406818#395,1243765.0,126.0,1
406820#397,1243818.0,100.0,1
406823#398,1243952.0,82.0,1
406825#400,1244045.0,166.0,1
406828#403,1244200.0,58.0,8
406829#404,1244216.0,89.0,1
406830#405,1244248.0,51.0,8
406833#408,1244370.0,148.0,1
406835#410,1244481.0,104.0,1
406839#414,1244545.0,96.0,1
406841#416,1244644.0,95.0,1
406843#418,1244710.0,54.0,8
406844#419,1244729.0,87437.0,16
406845#420,1244761.0,99.0,1
406847#422,1244823.0,337.0,8
406850#425,1244991.0,106.0,1
406852#427,1245235.0,19582.0,3
406854#429,1245476.0,44.0,4
406861#436,1245728.0,439.0,2
406862#437,1245768.0,428.0,8
406864#439,1245836.0,65.0,8
406865#440,1245861.0,93.0,1
406868#443,1246140.0,15.0,8
406869#444,1246141.0,129.0,1
406871#445,1246204.0,66.0,8
406872#446,1246276.0,107.0,2
406873#447,1246298.0,1420.0,1
406874#448,1246307.0,27476.0,8
406879#452,1246439.0,7614.0,8
406884#457,1246617.0,16064.0,8
406886#459,1246824.0,105.0,2
406887#460,1246846.0,165.0,8
406888#461,1246925.0,84.0,8
406891#464,1247181.0,105.0,2
406892#465,1247296.0,69.0,8
406893#466,1247449.0,2402.0,8
406894#467,1247466.0,1088.0,8
406897#470,1247550.0,209.0,8
406900#473,1248044.0,1834.0,2
406905#477,1248337.0,28503.0,1
406911#482,1248773.0,906.0,2
406914#485,1248811.0,143.0,1
406921#488,1248870.0,1.0,1
406924#489,1248892.0,104.0,1
406926#490,1249006.0,243.0,1
406928#492,1249070.0,65.0,8
406930#494,1249124.0,193.0,8
